Area,X,Y,BX,BY,Width,Height
0,86.667,1016.000,86,1016,1,1
0,197.333,1010.667,197,1010,1,1
0,316.000,998.667,316,998,1,1
0,448.000,952.000,448,952,1,1
0,582.667,820.000,582,820,1,1
0,734.667,622.667,734,622,1,1
0,926.667,381.333,926,381,1,1
0,1060.000,216.000,1060,216,1,1
0,125.333,1282.667,125,1282,1,1
0,204.000,1184.000,204,1184,1,1
0,326.667,1096.000,326,1096,1,1
0,468.000,1025.333,468,1025,1,1
0,620.000,890.667,620,890,1,1
0,793.333,662.667,793,662,1,1
0,974.667,421.333,974,421,1,1
0,1104.000,254.667,1104,254,1,1
